Machias town	Maine	2105	[[-67.49957900000001, 44.686063999999995], [-67.44950600000001, 44.720221]]
Albany town	Indiana	2107	[[-85.25402600000001, 40.295984000000004], [-85.21459900000002, 40.321093]]
Versailles town	Indiana	2108	[[-85.27214699999999, 39.045319500000005], [-85.24292400000002, 39.076307]]
Pink town	Oklahoma	2108	[[-97.062733, 35.26821500000001], [-97.05387699999999, 35.27241500000001]]
New Eagle borough	Pennsylvania	2108	[[-79.968252, 40.197058000000006], [-79.93868300000001, 40.216134000000004]]
Erath town	Louisiana	2109	[[-92.056965, 29.947365], [-92.006417, 29.971507]]
Maple Lake city	Minnesota	2109	[[-94.024645, 45.22077600000001], [-93.979367, 45.245824]]
Kure Beach town	North Carolina	2109	[[-77.91647300000001, 33.973331], [-77.89892, 34.015539000000004]]
Kamas city	Utah	2109	[[-111.300412, 40.631638], [-111.255926, 40.652565]]
St. Anne township	Illinois	2110	[[-87.73403520000001, 41.013735600000004], [-87.70377079999999, 41.0302246]]
New Stanton borough	Pennsylvania	2110	[[-79.63361900000001, 40.19630300000001], [-79.585595, 40.244865999999995]]
Belleair Bluffs city	Florida	2111	[[-82.83142500000001, 27.913385], [-82.808914, 27.924273]]
Mountain Lake Park town	Maryland	2111	[[-79.3843937, 39.4137823], [-79.37407379999999, 39.4196749]]
Knightstown town	Indiana	2112	[[-85.54649960000002, 39.7870316], [-85.5187854, 39.8062669]]
Milford city	Nebraska	2112	[[-97.06575, 40.76334200000001], [-97.039804, 40.781898999999996]]
Dolgeville village	New York	2113	[[-74.78667, 43.09], [-74.76004, 43.117314]]
Angola village	New York	2113	[[-79.039961, 42.627921], [-79.01899300000001, 42.647759]]
Centerburg village	Ohio	2113	[[-82.69164900000001, 40.30406099999999], [-82.69100300000001, 40.304758]]
Olton city	Texas	2114	[[-102.154365, 34.17001200000001], [-102.127353, 34.189928]]
Hanley Hills village	Missouri	2115	[[-90.334128, 38.679541], [-90.315518, 38.692787]]
Pegram town	Tennessee	2115	[[-87.09038799999999, 36.078900000000004], [-87.02041, 36.131727]]
Talty town	Texas	2115	[[-96.422322, 32.676163], [-96.37857099999998, 32.711992]]
Postville city	Iowa	2116	[[-91.588276, 43.068690000000004], [-91.5484555, 43.09557500000001]]
Fishkill village	New York	2116	[[-73.91063700000001, 41.523721], [-73.87787599999999, 41.543001]]
Jackson city	Kentucky	2117	[[-83.421181, 37.524103000000004], [-83.340389, 37.579055000000004]]
Cedar Grove village	Wisconsin	2117	[[-87.84070799999999, 43.553718], [-87.80930699999999, 43.579776]]
Vincent town	Alabama	2118	[[-86.456545, 33.34985699999999], [-86.348607, 33.422296]]
Braddock borough	Pennsylvania	2118	[[-79.87927099999999, 40.392169], [-79.85876799999998, 40.41196899999999]]
Newport city	Washington	2118	[[-117.069096, 48.17207200000001], [-117.039517, 48.190947]]
Freeport city	Florida	2119	[[-86.198853, 30.457186], [-86.08373099999999, 30.5601556]]
Port Barre town	Louisiana	2119	[[-91.970045, 30.54432], [-91.94469600000002, 30.570464]]
Simmesport town	Louisiana	2120	[[-91.83093799999999, 30.964827], [-91.79652100000001, 30.996546999999996]]
